nct_id,drug_id,key_trial,arm_id,arm_title,term,n_affected,n_at_risk,pct
NCT04667377,survodutide,Survodutide Phase 2,EG003,4.8 mg BI 456906 - Actual Maintenance Treatment,constipation,13,54,24.07
NCT04667377,survodutide,Survodutide Phase 2,EG004,Placebo,constipation,4,77,5.19
NCT04667377,survodutide,Survodutide Phase 2,EG000,0.6 mg BI 456906 - Actual Maintenance Treatment,diarrhoea,22,92,23.91
NCT04667377,survodutide,Survodutide Phase 2,EG001,2.4 mg BI 456906 - Actual Maintenance Treatment,diarrhoea,21,92,22.83
NCT04667377,survodutide,Survodutide Phase 2,EG002,3.6 mg BI 456906 - Actual Maintenance Treatment,diarrhoea,17,71,23.94
NCT04667377,survodutide,Survodutide Phase 2,EG003,4.8 mg BI 456906 - Actual Maintenance Treatment,diarrhoea,9,54,16.67
NCT04667377,survodutide,Survodutide Phase 2,EG004,Placebo,diarrhoea,8,77,10.39
NCT04667377,survodutide,Survodutide Phase 2,EG000,0.6 mg BI 456906 - Actual Maintenance Treatment,dyspepsia,7,92,7.61
NCT04667377,survodutide,Survodutide Phase 2,EG001,2.4 mg BI 456906 - Actual Maintenance Treatment,dyspepsia,9,92,9.78
NCT04667377,survodutide,Survodutide Phase 2,EG002,3.6 mg BI 456906 - Actual Maintenance Treatment,dyspepsia,8,71,11.27
NCT04667377,survodutide,Survodutide Phase 2,EG003,4.8 mg BI 456906 - Actual Maintenance Treatment,dyspepsia,7,54,12.96
NCT04667377,survodutide,Survodutide Phase 2,EG004,Placebo,dyspepsia,3,77,3.9
NCT04667377,survodutide,Survodutide Phase 2,EG000,0.6 mg BI 456906 - Actual Maintenance Treatment,eructation,4,92,4.35
NCT04667377,survodutide,Survodutide Phase 2,EG001,2.4 mg BI 456906 - Actual Maintenance Treatment,eructation,6,92,6.52
NCT04667377,survodutide,Survodutide Phase 2,EG002,3.6 mg BI 456906 - Actual Maintenance Treatment,eructation,5,71,7.04
NCT04667377,survodutide,Survodutide Phase 2,EG003,4.8 mg BI 456906 - Actual Maintenance Treatment,eructation,2,54,3.7
NCT04667377,survodutide,Survodutide Phase 2,EG004,Placebo,eructation,0,77,0.0
NCT04667377,survodutide,Survodutide Phase 2,EG000,0.6 mg BI 456906 - Actual Maintenance Treatment,gastrooesophageal reflux disease,2,92,2.17
NCT04667377,survodutide,Survodutide Phase 2,EG001,2.4 mg BI 456906 - Actual Maintenance Treatment,gastrooesophageal reflux disease,7,92,7.61
NCT04667377,survodutide,Survodutide Phase 2,EG002,3.6 mg BI 456906 - Actual Maintenance Treatment,gastrooesophageal reflux disease,10,71,14.08
NCT04667377,survodutide,Survodutide Phase 2,EG003,4.8 mg BI 456906 - Actual Maintenance Treatment,gastrooesophageal reflux disease,5,54,9.26
NCT04667377,survodutide,Survodutide Phase 2,EG004,Placebo,gastrooesophageal reflux disease,3,77,3.9
NCT04667377,survodutide,Survodutide Phase 2,EG000,0.6 mg BI 456906 - Actual Maintenance Treatment,nausea,36,92,39.13
NCT04667377,survodutide,Survodutide Phase 2,EG001,2.4 mg BI 456906 - Actual Maintenance Treatment,nausea,60,92,65.22
NCT04667377,survodutide,Survodutide Phase 2,EG002,3.6 mg BI 456906 - Actual Maintenance Treatment,nausea,45,71,63.38
NCT04667377,survodutide,Survodutide Phase 2,EG003,4.8 mg BI 456906 - Actual Maintenance Treatment,nausea,32,54,59.26
NCT04667377,survodutide,Survodutide Phase 2,EG004,Placebo,nausea,15,77,19.48
NCT04667377,survodutide,Survodutide Phase 2,EG000,0.6 mg BI 456906 - Actual Maintenance Treatment,vomiting,13,92,14.13
NCT04667377,survodutide,Survodutide Phase 2,EG001,2.4 mg BI 456906 - Actual Maintenance Treatment,vomiting,28,92,30.43
NCT04667377,survodutide,Survodutide Phase 2,EG002,3.6 mg BI 456906 - Actual Maintenance Treatment,vomiting,28,71,39.44
NCT04667377,survodutide,Survodutide Phase 2,EG003,4.8 mg BI 456906 - Actual Maintenance Treatment,vomiting,13,54,24.07
NCT04667377,survodutide,Survodutide Phase 2,EG004,Placebo,vomiting,4,77,5.19
NCT04667377,survodutide,Survodutide Phase 2,EG000,0.6 mg BI 456906 - Actual Maintenance Treatment,nausea,1,92,1.09
NCT04667377,survodutide,Survodutide Phase 2,EG001,2.4 mg BI 456906 - Actual Maintenance Treatment,nausea,0,92,0.0
NCT04667377,survodutide,Survodutide Phase 2,EG002,3.6 mg BI 456906 - Actual Maintenance Treatment,nausea,0,71,0.0
NCT04667377,survodutide,Survodutide Phase 2,EG003,4.8 mg BI 456906 - Actual Maintenance Treatment,nausea,0,54,0.0
NCT04667377,survodutide,Survodutide Phase 2,EG004,Placebo,nausea,0,77,0.0
NCT04667377,survodutide,Survodutide Phase 2,EG000,0.6 mg BI 456906 - Actual Maintenance Treatment,vomiting,1,92,1.09
NCT04667377,survodutide,Survodutide Phase 2,EG001,2.4 mg BI 456906 - Actual Maintenance Treatment,vomiting,0,92,0.0
NCT04667377,survodutide,Survodutide Phase 2,EG002,3.6 mg BI 456906 - Actual Maintenance Treatment,vomiting,0,71,0.0
NCT04667377,survodutide,Survodutide Phase 2,EG003,4.8 mg BI 456906 - Actual Maintenance Treatment,vomiting,0,54,0.0
NCT04667377,survodutide,Survodutide Phase 2,EG004,Placebo,vomiting,0,77,0.0
