nct_id,title,phase,status,study_type,enrollment,lead_sponsor,sponsor_class,conditions,interventions,has_results,start_date,primary_completion,matched_term,matched_generic,attributed_term,ambiguous
NCT04083820,"A Research Study Looking at How Semaglutide Works in People With Type 2 Diabetes in France, as Part of Local Clinical Practice (SURE FRANCE)",NA,COMPLETED,OBSERVATIONAL,521,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",semaglutide,no,2019-09-16,2021-09-27,semaglutide,semaglutide,semaglutide,no
NCT03288740,"A Trial to Assess the Pharmacokinetics, Safety and Tolerability of Semaglutide in Healthy Chinese Subjects",PHASE1,COMPLETED,INTERVENTIONAL,36,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2",Semaglutide 0.5 mg|Placebo (semaglutide 0.5 mg)|Semaglutide 1.0 mg|Placebo (semaglutide 1.0 mg),no,2017-09-21,2018-07-10,semaglutide,semaglutide,semaglutide,no
NCT07223242,Tailored Exercise Training Study Among Adults With HFpEF,PHASE2|PHASE3,RECRUITING,INTERVENTIONAL,120,University of Texas Southwestern Medical Center,OTHER,HFpEF - Heart Failure With Preserved Ejection Fraction|Diabetic Cardiomyopathies,Moderate-intensity continuous training (MCT)|Resistance training|Weight loss,no,2025-02-18,2026-12-30,tirzepatide;semaglutide,tirzepatide,tirzepatide,yes
NCT06629688,Semaglutide and Intestinal Iron Absorption,NA,COMPLETED,INTERVENTIONAL,51,University Hospital Dubrava,OTHER,Diabetes Mellitus Type 2|Iron Absorption,semaglutide,no,2023-11-01,2024-04-01,semaglutide,semaglutide,semaglutide,no
NCT05996874,A Research Study Comparing the Effect of Different Dosing Conditions on Blood Levels of Semaglutide in a New Tablet Composition in Healthy Participants,PHASE1,COMPLETED,INTERVENTIONAL,121,Novo Nordisk A/S,INDUSTRY,Healthy Participants,Semaglutide,no,2023-08-12,2024-04-18,semaglutide,semaglutide,semaglutide,no
NCT06045221,A Study of Orforglipron (LY3502970) Compared With Semaglutide in Participants With Type 2 Diabetes Inadequately Controlled With Metformin,PHASE3,COMPLETED,INTERVENTIONAL,1698,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes,Orforglipron|Semaglutide,no,2023-09-22,2025-08-22,orforglipron;semaglutide,orforglipron,orforglipron,yes
NCT05064735,Research Study Looking at How Well Semaglutide Works in People Suffering From Obesity and Knee Osteoarthritis,PHASE3,COMPLETED,INTERVENTIONAL,407,Novo Nordisk A/S,INDUSTRY,Obesity,semaglutide 2.4 mg|semaglutide 2.4 mg (placebo),yes,2021-10-01,2023-07-24,semaglutide,semaglutide,semaglutide,no
NCT05232708,A Clinical Trial Looking at the Comparability of 2 Different Forms of Semaglutide,PHASE1,COMPLETED,INTERVENTIONAL,18,Novo Nordisk A/S,INDUSTRY,"Healthy Volunteers (Diabetes Mellitus, Type 2)","Semaglutide B, 1.34 mg/mL|Semaglutide D, 1.0 mg/mL|Semaglutide D, 1.0 mg/mL|Semaglutide B, 1.34 mg/mL",no,2022-01-19,2022-08-30,semaglutide,semaglutide,semaglutide,no
NCT06814938,A Study of a Novel Precision Medicine Approach For Obesity,PHASE4,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,135,Mayo Clinic,OTHER,Obesity,Semaglutide|Placebo,no,2025-02-21,2027-12,semaglutide,semaglutide,semaglutide,no
NCT07154238,"Characteristics and Treatment Experiences of Individuals Using Injectable Semaglutide for Weight Management, a Cross-sectional Time-series Analysis, Multi-country Study.",NA,ENROLLING_BY_INVITATION,OBSERVATIONAL,2546,Novo Nordisk A/S,INDUSTRY,Obesity,No treatment given,no,2025-09-26,2026-09-30,semaglutide,semaglutide,semaglutide,no
NCT03989232,A Research Study to Compare Two Doses of Semaglutide Taken Once Weekly in People With Type 2 Diabetes,PHASE3,COMPLETED,INTERVENTIONAL,961,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Semaglutide|Placebo (semaglutide),yes,2019-06-19,2020-09-18,semaglutide,semaglutide,semaglutide,no
NCT07668414,A Research Study Investigating How Well the Medicine Zenagamtide Helps People With Excess Body Weight Lose Weight Compared to Semaglutide,PHASE3,NOT_YET_RECRUITING,INTERVENTIONAL,650,Novo Nordisk A/S,INDUSTRY,Overweight|Obesity,Zenagamtide|Semaglutide|Placebo (matched to semaglutide)|Placebo (matched to zenagamtide),no,2026-09-22,2028-10-10,semaglutide,semaglutide,semaglutide,no
NCT07588984,GLP-1 Medication & Behavioral Health Programs on Weight & Metabolic Outcomes: FLOURISH and THRIVE Prospective Cohort Study,NA,NOT_YET_RECRUITING,OBSERVATIONAL,2310,Noom Inc.,INDUSTRY,Obesity & Overweight|Weight Loss|Preventative Health|Body Weight|Cardiovascular Disease Risk Factor,Noom Weight|Free Tier|Education-only control|Semaglutide|Tirzepatide|Microdose semaglutide|Microdose tirzepatide,no,2026-04-30,2029-05,tirzepatide;semaglutide,tirzepatide,tirzepatide,yes
NCT02128932,Efficacy and Safety of Semaglutide Once Weekly Versus Insulin Glargine Once Daily as add-on to Metformin With or Without Sulphonylurea in Insulin-naïve Subjects With Type 2 Diabetes,PHASE3,COMPLETED,INTERVENTIONAL,1089,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2",semaglutide|insulin glargine,yes,2014-08-04,2015-09-03,semaglutide,semaglutide,semaglutide,no
NCT05895643,Does Semaglutide Reduce Alcohol Intake in Patients With Alcohol Use Disorder and Comorbid Obesity?,PHASE2,COMPLETED,INTERVENTIONAL,108,Psychiatric Centre Rigshospitalet,OTHER,Alcohol Abuse|Alcohol Addiction|Alcohol Dependence|Alcohol Use Disorder,Semaglutide Injectable Product|Placebo,no,2023-06-13,2025-07-31,semaglutide,semaglutide,semaglutide,no
NCT05040087,"Changing the Natural History of Type 2 Diabetes (""CHANGE"" Study)",NA,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,127,"Foundation for Atlanta Veterans Education and Research, Inc.",OTHER,Type 2 Diabetes,Intensification of diabetes medication based largely on HbA1c levels|Intensification of diabetes medication based on glucose levels,no,2021-09-01,2026-12-31,semaglutide,semaglutide,semaglutide,no
NCT02920385,A Trial Investigating the Influence of Oral Semaglutide on the Pharmacokinetics of Levothyroxine and the Influence of Co-administered Tablets on the Pharmacokinetics of Semaglutide Administered Orally in Healthy Subjects.,PHASE1,COMPLETED,INTERVENTIONAL,45,Novo Nordisk A/S,INDUSTRY,Diabetes|Healthy,Semaglutide|SNAC|Levothyroxine|Placebo,no,2016-10-10,2017-04-26,semaglutide,semaglutide,semaglutide,no
NCT06836284,The Evira Study: Additional Support During Obesity Treatment,NA,RECRUITING,INTERVENTIONAL,40,Karolinska Institutet,OTHER,Childhood Obesity|Treatment Adherence,"Digi-physical treatment tool, Evira|Obesity medication with liraglutide or semaglutide",no,2026-02-13,2027-04-01,liraglutide;semaglutide,liraglutide,liraglutide,yes
NCT06548490,GLP-1R Agonist Treatment for Opioid Use Disorder,PHASE2,RECRUITING,INTERVENTIONAL,200,Milton S. Hershey Medical Center,OTHER,Opioid Use Disorder|Opioid Abuse and Addiction|Narcotic-Related Disorders|Substance-Related Disorders|Chemically-Induced Disorders|Mental Disorder|Opioid,Semaglutide Pen Injector|Placebo,no,2025-01-27,2027-04-30,semaglutide,semaglutide,semaglutide,no
NCT06699329,A Study of Enlicitide Decanoate (MK-0616) and Semaglutide in Healthy Adult Participants (MK-0616-023),PHASE1,COMPLETED,INTERVENTIONAL,38,Merck Sharp & Dohme LLC,INDUSTRY,Healthy,Enlicitide Decanoate|Semaglutide,no,2024-01-22,2024-05-24,semaglutide,semaglutide,semaglutide,no
NCT07457424,Direct Measurement of Microstructure of Ingestive Behaviour After Initiation of GLP-1 Receptor Agonist Treatment at Maximum Dose (DIGRAT),NA,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,140,University College Dublin,OTHER,Metabolic Disease|Obesity & Overweight,semaglutide 1 mg weekly injection,no,2022-02-17,2026-08-31,semaglutide,semaglutide,semaglutide,no
NCT02161588,"A Trial to Assess the Pharmacokinetics, Pharmacodynamics, Safety and Tolerability of Oral Semaglutide in Healthy Male Japanese and Caucasian Subjects",PHASE1,COMPLETED,INTERVENTIONAL,48,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2|Healthy",semaglutide|placebo,no,2014-06,2014-11,semaglutide,semaglutide,semaglutide,no
NCT07731256,Semaglutide for Low Back Pain,PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,250,Washington University School of Medicine,OTHER,Lower Back Pain|Obesity (BMI>30)|Chronic Lower Back Pain|glp1 Agonist,Semaglutide (administered by PDS290 pen-injector)|Placebo (administered by PDS290 pen-injector),no,2027-02-01,2031-01-01,semaglutide,semaglutide,semaglutide,no
NCT05473286,"A Research Study Looking at How Oral Semaglutide Works in People With Type 2 Diabetes in Germany, as Part of Local Clinical Practice",NA,WITHDRAWN,OBSERVATIONAL,0,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Oral Semaglutide,no,2022-09-30,2024-05-16,semaglutide,semaglutide,semaglutide,no
NCT01930188,Efficacy and Safety of Semaglutide Once-weekly Versus Sitagliptin Once-daily as add-on to Metformin and/or TZD in Subjects With Type 2 Diabetes,PHASE3,COMPLETED,INTERVENTIONAL,1231,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2",semaglutide|sitagliptin|placebo|placebo,yes,2013-12-02,2015-10-12,semaglutide,semaglutide,semaglutide,no
NCT07282769,Semaglutide (Wegovy) Treatment for Trichotillomania,PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,10,University of Chicago,OTHER,Trichotillomania (Hair-Pulling Disorder)|Trichotillomania|Hair Pulling Disorder|Hair Pulling|Hair-Pulling Disorder,Semaglutide,no,2026-06,2027-02,semaglutide,semaglutide,semaglutide,no
NCT07783854,A Randomized Controlled Study of Dose-tapering Regimen of Semaglutide for Weight-Loss Maintenance in Adults With Overweight or Obesity,PHASE4,NOT_YET_RECRUITING,INTERVENTIONAL,72,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",OTHER,Obesity & Overweight,Semaglutide Dose-Tapering Regimen|Semaglutide Maintenance-Dose Regimen,no,2026-09-01,2027-12-30,semaglutide,semaglutide,semaglutide,no
NCT05132088,Research Study to Investigate How Well Semaglutide Tablets Taken Once Daily Work in East Asian People Who Are Overweight or Living With Obesity,PHASE3,COMPLETED,INTERVENTIONAL,201,Novo Nordisk A/S,INDUSTRY,Overweight and Obesity,semaglutide 50 mg|placebo (semaglutide),yes,2021-11-16,2023-07-11,semaglutide,semaglutide,semaglutide,no
NCT04916470,"Research Study to Look at How Well Semaglutide Works in People Living With Heart Failure, Obesity and Type 2 Diabetes",PHASE3,COMPLETED,INTERVENTIONAL,617,Novo Nordisk A/S,INDUSTRY,"Heart Failure With Preserved Ejection Fraction (HFpEF) and Diabetes Mellitus, Type 2",Semaglutide|Placebo (Semaglutide),no,2021-06-15,2023-10-11,semaglutide,semaglutide,semaglutide,no
NCT06489457,The Effects of Semaglutide vs Testosterone Replacement Therapy on Functional Hypogonadism and Sperm Quality in Men With Type 2 Diabetes Mellitus and Obesity,PHASE3,COMPLETED,INTERVENTIONAL,25,University Medical Centre Ljubljana,OTHER,Type 2 Diabetes Mellitus|Obesity|Functional Hypogonadism,Semaglutide|Testosterone Undecanoate,no,2020-09-20,2023-05-11,semaglutide,semaglutide,semaglutide,no
NCT07653477,Phase III Study of UBT251 Injection in Patients With Type 2 Diabetes With Inadequate Glycemic Control on Metformin ± Sulfonylurea/SGLT2 Inhibitor Therapy (UNIGUIDE-2),PHASE3,NOT_YET_RECRUITING,INTERVENTIONAL,956,"The United Bio-Technology (Hengqin) Co., Ltd.",INDUSTRY,Type 2 Diabetes,UBT251 Injection 2.0 mg group|UBT251 Injection 4.0 mg group|UBT251 Injection 6.0 mg group|Semaglutide Injection,no,2026-07-30,2028-02-29,semaglutide,semaglutide,semaglutide,no
NCT04097600,A Research Study Comparing Active Drug in the Blood in Healthy Participants Following Dosing of the Current and a New Formulation (D) Semaglutide Tablets,PHASE1,COMPLETED,INTERVENTIONAL,274,Novo Nordisk A/S,INDUSTRY,Healthy Volunteers|Type 2 Diabetes,Oral semaglutide,no,2019-09-30,2020-12-16,semaglutide,semaglutide,semaglutide,no
NCT02016911,"Pharmacokinetics, Safety and Tolerability of Oral Semaglutide in Subjects With Hepatic Impairment",PHASE1,COMPLETED,INTERVENTIONAL,56,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2|Healthy",semaglutide,no,2013-12-12,2015-01-12,semaglutide,semaglutide,semaglutide,no
NCT07614412,SHIELD-T1D: Shingrix and GLP-1 Agonist for Beta-Cell Preservation in Recent-Onset Type 1 Diabetes.,PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,240,"Ministry of Health, Saudi Arabia",OTHER_GOV,Type 1 Diabetes Mellitus,Recombinant Zoster Vaccine (Shingrix; RZV)|Semaglutide (Ozempic®)|Placebo (saline injection),no,2027-01-01,2028-01-31,semaglutide,semaglutide,semaglutide,no
NCT02210871,"Investigating the Pharmacokinetics, Safety and Tolerability After a Single Subcutaneous Injection of Semaglutide in Subjects With Mild, Moderate or Severe Hepatic Impairment Compared to Subjects With Normal Hepatic Function",PHASE1,COMPLETED,INTERVENTIONAL,44,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2|Hepatic Impaired",semaglutide,no,2014-08-07,2015-06-03,semaglutide,semaglutide,semaglutide,no
NCT02607865,Efficacy and Long-term Safety of Oral Semaglutide Versus Sitagliptin in Subjects With Type 2 Diabetes,PHASE3,COMPLETED,INTERVENTIONAL,1864,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2",semaglutide|sitagliptin|placebo,yes,2016-02-15,2017-02-14,semaglutide,semaglutide,semaglutide,no
NCT07242534,Effect of Semaglutide on Embryo Quality in Overweight and Obese Patients Undergoing In Vitro Fertilization.,PHASE4,RECRUITING,INTERVENTIONAL,62,Fundacion Dexeus,OTHER,Infertility|Obesity,Semaglutide|No pre-treatment,no,2026-01-19,2027-02,semaglutide,semaglutide,semaglutide,no
NCT05071898,Pharmacogenetics of Response to GLP1R Agonists,PHASE1,RECRUITING,INTERVENTIONAL,600,"University of Maryland, Baltimore",OTHER,Obesity|Diabetes Type 2,Semaglutide Pen Injector [Ozempic],no,2022-04-11,2027-04-30,semaglutide,semaglutide,semaglutide,no
NCT02243098,Investigating the Influence of Semaglutide on the Pharmacokinetics of Single Doses of Atorvastatin and Digoxin in Healthy Subjects,PHASE1,COMPLETED,INTERVENTIONAL,31,Novo Nordisk A/S,INDUSTRY,Diabetes|Healthy,semaglutide|digoxin|atorvastatin,no,2014-09-16,2015-04-07,semaglutide,semaglutide,semaglutide,no
NCT04012255,A Research Study to Compare Two Forms of Semaglutide in Two Different Pen-injectors in People With Overweight or Obesity,PHASE1,TERMINATED,INTERVENTIONAL,29,Novo Nordisk A/S,INDUSTRY,Overweight|Obesity,Semaglutide (administered by DV3396 pen)|Semaglutide (administered by PDS290 pen),no,2019-07-15,2019-08-30,semaglutide,semaglutide,semaglutide,no
NCT04940078,A Research Study to Compare Blood Levels of Cagrilintide and Semaglutide After Combined Versus Separate Injections in People With Overweight or Obesity,PHASE1,COMPLETED,INTERVENTIONAL,40,Novo Nordisk A/S,INDUSTRY,Obesity & Overweight,Cagrilintide|semaglutide|Cagrilintide and semaglutide,no,2021-07-07,2022-01-19,semaglutide,semaglutide,semaglutide,no
NCT00833716,Effect of Renal Impairment on the Pharmacokinetics of NN9535,PHASE1,COMPLETED,INTERVENTIONAL,62,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2|Renal Impairment",semaglutide,no,2009-02-02,2010-07-26,semaglutide,semaglutide,semaglutide,no
NCT06874751,Semaglutide Effects on Cardiovascular Outcomes in People With Overweight or Obesity in the Real World,NA,COMPLETED,OBSERVATIONAL,45456,Novo Nordisk A/S,INDUSTRY,Overweight|Obesity|Atherosclerotic Cardiovascular Disease (ASCVD),No treatment given|No treatment given,no,2024-12-06,2025-03-28,semaglutide,semaglutide,semaglutide,no
NCT05689099,A Research Trial Looking at the Comparability of 2 Different Concentrations of Semaglutide for the 0.5 Milligram (mg) Dose,PHASE1,COMPLETED,INTERVENTIONAL,20,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2|Healthy Participants","Semaglutide B, 1.34 mg/mL|Semaglutide B, 0.68 mg/mL",no,2023-01-17,2023-05-30,semaglutide,semaglutide,semaglutide,no
NCT04969939,A Research Study to Investigate How Well NNC0165-1875 in Combination With Semaglutide Works in People With Obesity,PHASE2,COMPLETED,INTERVENTIONAL,120,Novo Nordisk A/S,INDUSTRY,Obesity,Semaglutide 2.4 mg and NNC0165-1875 2.0 mg|Semaglutide 2.4 mg and placebo 2.0 mg|Semaglutide 2.4 mg and NNC0165-1875 1.0 mg|Semaglutide 2.4 mg and placebo 1.0 mg,yes,2021-07-15,2022-12-06,semaglutide,semaglutide,semaglutide,no
NCT05390307,Obesity Treatment to Improve Diabetes,NA,COMPLETED,INTERVENTIONAL,60,Dasman Diabetes Institute,OTHER,Type 1 Diabetes,Liraglutide / Semaglutide|Dapagliflozin|Liraglutide or Semaglutide / Dapagliflozin|Liraglutide or Semaglutide / Dapagliflozin plus intensive weight loss nutrition|Usual care,no,2023-04-01,2024-01-01,liraglutide;semaglutide,liraglutide,liraglutide,yes
NCT07527195,"Understanding the Effect of CagriSema, Cagrilintide, and Semaglutide on Muscle Health (Role of Amylin Signature in Muscle Health)",PHASE1,RECRUITING,INTERVENTIONAL,100,Novo Nordisk A/S,INDUSTRY,Obesity,Cagrilintide|Semaglutide|Placebo cagrilintide|Placebo semaglutide,no,2026-04-10,2028-04-28,cagrisema;semaglutide,cagrilintide+semaglutide,cagrisema,yes
NCT06420739,The Semaglutide Study,NA,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,100,"University Health Network, Toronto",OTHER,Fasting,Gastric Ultrasound,no,2024-03-25,2025-11-30,semaglutide,semaglutide,semaglutide,no
NCT07539584,Adiponectin in Patients With Metabolic Disorders,NA,COMPLETED,INTERVENTIONAL,130,Moscow Regional Research and Clinical Institute (MONIKI),OTHER_GOV,Metabolic Dysfunction-associated Fatty Liver Disease (MAFLD)|Type 2 Diabetes Mellitus (T2DM),SGLT2 inhibitor|GLP-1 RA,no,2022-03-01,2024-04-08,liraglutide;semaglutide,liraglutide,liraglutide,yes
NCT06298799,GENETIC VARIABILITY TO GLP1 TREATMENT,NA,UNKNOWN,INTERVENTIONAL,400,GENGE,OTHER,Type 2 Diabetes|Obesity,DNA Sequencing and Analysis|differential expression analysis with RNA-sequencing (RNA seq) experiments,no,2023-10-01,2025-01-01,semaglutide,semaglutide,semaglutide,no
NCT02906930,Efficacy and Safety of Oral Semaglutide Versus Placebo in Subjects With Type 2 Diabetes Mellitus Treated With Diet and Exercise Only,PHASE3,COMPLETED,INTERVENTIONAL,703,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2",semaglutide|placebo,yes,2016-09-20,2017-10-30,semaglutide,semaglutide,semaglutide,no
NCT07336862,Bariatric Surgery Combined With GLP-1 Receptor Agonists Study,PHASE1|PHASE2,RECRUITING,INTERVENTIONAL,200,China-Japan Friendship Hospital,OTHER,Obesity,BS-GLP group|BS group,no,2024-01-01,2027-12,semaglutide,semaglutide,semaglutide,no
NCT07073417,A Study to Compare XW003 Injection and Semaglutide Injection in Chinese Adults With Obesity (SLIMMER-UP-SWITCH),PHASE2,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,163,"Hangzhou Sciwind Biosciences Co., Ltd.",INDUSTRY,Obesity|Weight Management,XW003 injection|semaglutide injection,no,2025-07-28,2027-02-27,ecnoglutide;semaglutide,ecnoglutide,ecnoglutide,yes
NCT07179120,Can Fat-Burning Shots Boost Fertility? Comparing Weight-Loss Injections vs. Healthy Habits for Obese Men With Low Sperm Health,PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,180,First Affiliated Hospital of Wenzhou Medical University,OTHER,Obesity-related Male Infertility,Semaglutide (Rybelsus®)|Tirzepatide|Standardized Lifestyle Intervention,no,2026-05-01,2026-08-12,tirzepatide;semaglutide,tirzepatide,tirzepatide,yes
NCT03144271,"Dose Escalation Trial of Single Subcutaneous Doses of NNC 0113-0217 to Assess Safety, Tolerability, Pharmacokinetics and Pharmacodynamics in Healthy Male Subjects",PHASE1,COMPLETED,INTERVENTIONAL,58,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2|Healthy",semaglutide|Placebo,no,2007-06-11,2007-10-08,semaglutide,semaglutide,semaglutide,no
NCT07781371,A Retrospective Real-World Cohort Study,NA,NOT_YET_RECRUITING,OBSERVATIONAL,100000,Novo Nordisk A/S,INDUSTRY,Obesity|Type 2 Diabetes (T2D)|Prediabetes|Cardiovascular Disease (CVD)|Dyslipidemia|Metabolic Dysfunction-associated Steatotic Liver Disease (MASLD)|Chronic Kidney Disease (CKD),No treatment given,no,2026-08-20,2026-11-02,semaglutide,semaglutide,semaglutide,no
NCT06649344,A Study of HRS9531 Versus Semaglutide Once Weekly as Add-on Therapy to Metformin Monotherapy or in Combination With SGLT2 Inhibitors in Participants With Type 2 Diabetes,PHASE3,COMPLETED,INTERVENTIONAL,884,"Fujian Shengdi Pharmaceutical Co., Ltd.",INDUSTRY,Type 2 Diabetes,HRS9531 Injection|Semaglutide Injection,no,2024-10-31,2026-07-18,semaglutide,semaglutide,semaglutide,no
NCT04061200,Renal Effects of Treatment With Empagliflozin Alone or in Combination With Semaglutide in Patients With Type 2 Diabetes and Albuminuria,PHASE4,UNKNOWN,INTERVENTIONAL,80,Steno Diabetes Center Copenhagen,OTHER,Type 2 Diabetes With Renal Manifestations,"Semaglutide, 1.34 mg/mL|Placebo, 1,34 mg/mL|Empagliflozin 25 MG",no,2019-11-01,2021-07-01,semaglutide,semaglutide,semaglutide,no
NCT07713992,Efficacy and Safety of Mazdutide in Patients With Type 2 Diabetes Mellitus and Moderate to Severe Nonalcoholic Fatty Liver Disease Previously Treated With Semaglutide,NA,NOT_YET_RECRUITING,INTERVENTIONAL,72,Tianjin Medical University,OTHER,Type 2 Diabetes Mellitus (T2DM)|Nonalcoholic Fatty Liver Disease (NAFLD) With History of Diabetes Melitus,Mazdutide(Dual GLP-1R/GCGR Agonist)|Semaglutide (1 Mg Dose),no,2026-09-15,2027-12-31,mazdutide;semaglutide,mazdutide,mazdutide,yes
NCT07613437,GLP-1 Receptor Agonist in Primary Intracerebral Hemorrhage: A Phase 2 Randomized Trial,PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,200,Chinese University of Hong Kong,OTHER,Intracerebral Hemorrhage,"Semaglutide, 0.5 mg/mL",no,2026-06-15,2028-06-14,semaglutide,semaglutide,semaglutide,no
NCT06487832,Effect of GLP1 Receptor Agonist on Brain Insulin Responsiveness,NA,RECRUITING,INTERVENTIONAL,60,University Hospital Tuebingen,OTHER,Normal Weight|Overweight and Obesity|Insulin Sensitivity|Insulin Resistance,Subcutaneous GLP1-RA|Subcutaneous placebo,no,2024-07-01,2027-07-31,semaglutide,semaglutide,semaglutide,no
NCT07136714,Does Semaglutide Improve Depressive Symptoms in Patients With Major Depressive Disorder and Overweight or Obesity,PHASE4,RECRUITING,INTERVENTIONAL,116,Nordsjaellands Hospital,OTHER,Major Depressive Disorder,Semaglutide Injectable Product|Placebo,no,2025-09-11,2027-09,semaglutide,semaglutide,semaglutide,no
NCT07622810,BALANCE-OBS: Bofanglutide (GZR18) Versus Semaglutide in Latin American Adults With Overweight or Obesity,PHASE3,NOT_YET_RECRUITING,INTERVENTIONAL,352,Carnot Laboratories,INDUSTRY,Obesity & Overweight,Bofanglutida|Semaglutide,no,2026-09,2027-12,semaglutide,semaglutide,semaglutide,no
NCT06182618,Retrospective Analysis for Patients With Metabolic Syndrome,NA,UNKNOWN,OBSERVATIONAL,400,"Second Affiliated Hospital, Zhejiang University, School of Medicine",OTHER,Metabolic Syndrome,"dietary, semaglutide or/and metformin",no,2023-06-01,2024-01-01,semaglutide,semaglutide,semaglutide,no
NCT06974825,A Study of BGM0504 in Chinese Patients With Type 2 Diabetes,PHASE2,COMPLETED,INTERVENTIONAL,67,"BrightGene Bio-Medical Technology Co., Ltd.",INDUSTRY,Type 2 Diabetes,BGM0504 Administered SC|BGM0504 Administered SC|BGM0504 Administered SC|Semaglutide Administered SC|Placebo Administered SC,no,2023-08-30,2024-08-13,semaglutide,semaglutide,semaglutide,no
NCT07513168,Low-Dose Semaglutide for Weight Loss in Obese Non-Diabetic Pakistani Adults,PHASE4,RECRUITING,INTERVENTIONAL,60,Asian Institute Of Medical Sciences,OTHER,Obesity|Weight Reduction|Cardiometabolic Risk Factors,"Locally available low-dose semaglutide (0.25 mg, 0.5 mg, 1 mg)",no,2025-08-01,2026-08-30,semaglutide,semaglutide,semaglutide,no
NCT07755085,GLP-1s in Hip and Knee Arthroplasty,PHASE4,NOT_YET_RECRUITING,INTERVENTIONAL,100,Nova Scotia Health Authority,OTHER,Arthritis|Obesity & Overweight|GLP - 1,GLP-1 Receptor Agonists + Behavioral modification|Behavioral + placebo,no,2026-10-01,2028-06-01,semaglutide,semaglutide,semaglutide,no
NCT04094415,"A Research Study Looking at How Semaglutide Works in People With Type 2 Diabetes in Italy, as Part of Local Clinical Practice",NA,COMPLETED,OBSERVATIONAL,581,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Semaglutide,no,2019-10-28,2021-07-28,semaglutide,semaglutide,semaglutide,no
NCT06977438,GLP-1 Plus Lifestyle for Overall Wellness: Find Your Way Forward,PHASE4,NOT_YET_RECRUITING,INTERVENTIONAL,1020,University of Minnesota,OTHER,"Obesity, Childhood",Semaglutide,no,2026-10-01,2031-01-31,semaglutide,semaglutide,semaglutide,no
NCT06820047,Sleeve Gastrectomy vs. Lifestyle & Medications: Impact on BMI Trajectory and Target Attainment in a Matched Cohort Study,NA,COMPLETED,OBSERVATIONAL,190,University of Roma La Sapienza,OTHER,Obesity and Obesity-related Medical Conditions,Laparoscopic sleeve gastrectomy|Obesity pharmacotherapy,no,2022-05-01,2023-07-01,semaglutide,semaglutide,semaglutide,no
NCT04017832,A Research Study Comparing a New Medicine Oral Semaglutide to Sitagliptin in People With Type 2 Diabetes,PHASE3,COMPLETED,INTERVENTIONAL,1441,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Oral semaglutide|Sitagliptin|Placebo (oral semaglutide)|Placebo (sitagliptin),yes,2019-07-29,2021-10-27,semaglutide,semaglutide,semaglutide,no
NCT07204249,Glutide for Ending Methamphetamine,PHASE2,RECRUITING,INTERVENTIONAL,162,San Francisco Department of Public Health,OTHER_GOV,Methamphetamine-dependence,Semaglutide|Placebo,no,2026-02-26,2030-02-15,semaglutide,semaglutide,semaglutide,no
NCT06608433,Glucagon-like Peptide-1 Receptor Agnoists for the Assessment of Adrenal Function,NA,COMPLETED,INTERVENTIONAL,22,"University Hospital, Basel, Switzerland",OTHER,Healthy Volunteer Study|HPA|Cortisol Deficiency|Adrenal Insufficiency,semaglutide|Placebo,no,2025-01-16,2025-10-31,semaglutide,semaglutide,semaglutide,no
NCT03574584,A Research Study of NNC0165-1562 and Semaglutide in People Who Are Overweight or Obese,PHASE1,COMPLETED,INTERVENTIONAL,37,Novo Nordisk A/S,INDUSTRY,Metabolism and Nutrition Disorders|Overweight or Obesity,NNC0165-1562|Semaglutide|Placebo (NNC0165-1562),no,2018-06-18,2019-07-27,semaglutide,semaglutide,semaglutide,no
