nct_id,title,phase,status,study_type,enrollment,lead_sponsor,sponsor_class,conditions,interventions,has_results,start_date,primary_completion,matched_term,matched_generic,attributed_term,ambiguous
NCT03707990,A Research Study of NNC0165-1875 Alone or Together With Semaglutide in People Who Are Overweight or Obese,PHASE1,COMPLETED,INTERVENTIONAL,88,Novo Nordisk A/S,INDUSTRY,Obesity and Overweight,NNC0165-1875|Placebo (NNC0165-1875)|Semaglutide,no,2018-10-15,2019-08-13,semaglutide,semaglutide,semaglutide,no
NCT05087342,Latino Semaglutide Study,PHASE3,COMPLETED,INTERVENTIONAL,119,Loma Linda University,OTHER,"Obesity|Obesity; Drug|Overweight or Obesity|Weight Loss|Weight Loss Trajectory|Weight, Body",Semaglutide 2.4mg|Placebo,no,2022-12-13,2024-05-29,semaglutide,semaglutide,semaglutide,no
NCT07653412,Precision Obesity Medicine: Genetic Prediction of Response to GLP-1/GIP Agonists.,NA,RECRUITING,OBSERVATIONAL,220,National and Kapodistrian University of Athens,OTHER,Obesity (Disorder)|Anti-obesity Agents|Precision Medicine,Semaglutide or Tirzepatide,no,2026-04-22,2027-01-30,tirzepatide;semaglutide,tirzepatide,tirzepatide,yes
NCT07640139,Estimating the Impact of Obesity Medications on Clinical and Economic Outcomes,NA,ENROLLING_BY_INVITATION,OBSERVATIONAL,125000,Indiana University,OTHER,Obesity,Incretin-based therapies (GLP-1 and GLP-1/GIP),no,2026-01-01,2029-12-31,tirzepatide;liraglutide;semaglutide,tirzepatide,tirzepatide,yes
NCT06856928,Impact of Antiobesity Medications on Appetite and Appetite-related Hormones and Metabolites.,NA,NOT_YET_RECRUITING,OBSERVATIONAL,16,"University of Colorado, Denver",OTHER,Obesity; Drug,Meal Challenge,no,2025-03,2026-12,tirzepatide;semaglutide,tirzepatide,tirzepatide,yes
NCT04998136,Research Study Investigating How Well Semaglutide Works in People From Thailand and South Korea Living With Obesity,PHASE3,COMPLETED,INTERVENTIONAL,150,Novo Nordisk A/S,INDUSTRY,Obesity,Semaglutide 2.4 mg|Placebo (semaglutide 2.4 mg),yes,2022-08-15,2023-10-16,semaglutide,semaglutide,semaglutide,no
NCT06885736,LEAN Mass Preservation With Resistance Exercise and Protein During Semaglutide/Tirzepatide Therapy,NA,RECRUITING,INTERVENTIONAL,232,Dasman Diabetes Institute,OTHER,Obesity,Resistance exercise|Protein Intake,no,2025-08-07,2029-08-30,tirzepatide;semaglutide,tirzepatide,tirzepatide,yes
NCT06734312,MAINTAIN (Mucosal AblatIoN Therapy After INcretins),NA,RECRUITING,INTERVENTIONAL,20,Dr. Christopher McGowan,OTHER,Obesity and Obesity-related Medical Conditions|Obesity and Overweight|Obesity Prevention|Obesity Recidivism|GLP-1|Ablation Techniques,Gastric Fundal Mucosal Ablation (GFMA),no,2025-01-01,2026-06,tirzepatide;semaglutide,tirzepatide,tirzepatide,yes
NCT06409130,"Effects of NNC0194-0499, Cagrilintide, and Semaglutide Alone or in Combinations on Liver Damage and Alcohol Use in People With Alcohol-related Liver Disease",PHASE2,COMPLETED,INTERVENTIONAL,270,Novo Nordisk A/S,INDUSTRY,Alcohol-related Liver Disease,NNC0194-0499|Semaglutide|NNC0194-0499 placebo|Semaglutide placebo (Group A)|Cagrilintide + semaglutide|Cagrilintide|Cagrilintide placebo|Semaglutide placebo (Group B),no,2024-05-20,2025-11-21,cagrisema;semaglutide,cagrilintide+semaglutide,cagrisema,yes
NCT07487103,Efficacy and Safety of QLG1091 vs Rybelsus as add-on to Metformin in Subjects With Type 2 Diabetes,PHASE3,NOT_YET_RECRUITING,INTERVENTIONAL,478,"Qilu Pharmaceutical Co., Ltd.",INDUSTRY,Type 2 Diabetes,QLG1091|Rybelsus,no,2026-05-01,2026-12,semaglutide,semaglutide,semaglutide,no
NCT07478653,"MODERN-Dental: Pediatric Obesity, Cardiometabolic Risks, And Periodontal Disease",NA,NOT_YET_RECRUITING,INTERVENTIONAL,50,Oelisoa Andriankaja,OTHER,Obesity|Dental Care for Children,Dental Cleaning and Oral Hygiene Instruction (OHI)|Oral Hygiene Instruction (OHI),no,2026-09-01,2028-07-31,semaglutide,semaglutide,semaglutide,no
NCT05390892,PREvention of CardIovascular and DiabEtic kidNey Disease in Type 2 Diabetes,PHASE4,RECRUITING,INTERVENTIONAL,6000,Brigham and Women's Hospital,OTHER,Type2Diabetes|ASCVD,SGLT2 inhibitor|GLP-1 receptor agonist,no,2022-09-26,2029-03-01,dulaglutide;liraglutide;semaglutide,dulaglutide,dulaglutide,yes
NCT07220629,Study to Explore the Safety and Efficacy of NT-0796 as an Adjunct to Semaglutide in Participants With Obesity (RESOLVE-2),PHASE2,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,82,NodThera Limited,INDUSTRY,Obesity,NT-0796|Placebo,no,2025-10-02,2026-08-21,semaglutide,semaglutide,semaglutide,no
NCT07294950,Impact of Semaglutide Withdrawal on Cardiometabolic Profile and Physiology of Energy Balance: Recovery Effects After Semaglutide Termination,PHASE3,RECRUITING,INTERVENTIONAL,98,"Mount Sinai Hospital, Canada",OTHER,Obesity (Disorder)|Weight Change|Blood Pressure Monitoring|Appetite Regulation,Gradual dose reduction of semaglutide|Abrupt cessation of semaglutide,no,2026-02-01,2028-09,semaglutide,semaglutide,semaglutide,no
NCT06256549,A Study of GZR18 Injection in Chinese Patients With Type 2 Diabetes Mellitus,PHASE2,UNKNOWN,INTERVENTIONAL,272,"Gan and Lee Pharmaceuticals, USA",INDUSTRY,Type 2 Diabetes,GZR18|Semaglutide,no,2023-08-09,2024-07-20,semaglutide,semaglutide,semaglutide,no
